000001.SZ,20250207,20250212
000002.SZ,20250218,20250221
000007.SZ,20250212,20250217
000008.SZ,20250210,20250214
000011.SZ,20250219,20250224
000012.SZ,20250219,20250224
000019.SZ,20250212,20250217
000027.SZ,20250213,20250218
000031.SZ,20250219,20250224
000035.SZ,20250212,20250217
000050.SZ,20250212,20250217
000055.SZ,20250218,20250221
000059.SZ,20250218,20250221
000060.SZ,20250219,20250224
000078.SZ,20250219,20250224
000088.SZ,20250219,20250224
000089.SZ,20250217,20250224
000090.SZ,20250214,20250219
000100.SZ,20250219,20250224
000166.SZ,20250218,20250224
000301.SZ,20250211,20250214
000402.SZ,20250219,20250224
000407.SZ,20250219,20250224
000415.SZ,20250219,20250224
000420.SZ,20250210,20250213
000422.SZ,20250210,20250213
000428.SZ,20250219,20250224
000488.SZ,20250210,20250217
000498.SZ,20250217,20250220
000504.SZ,20250219,20250224
000505.SZ,20250212,20250217
000507.SZ,20250219,20250224
000509.SZ,20250219,20250224
000510.SZ,20250210,20250213
000514.SZ,20250219,20250224
000518.SZ,20250219,20250224
000521.SZ,20250219,20250224
000523.SZ,20250212,20250217
000525.SZ,20250217,20250220
000529.SZ,20250210,20250217
000537.SZ,20250217,20250224
000539.SZ,20250219,20250224
000543.SZ,20250211,20250214
000546.SZ,20250210,20250217
000548.SZ,20250219,20250224
000552.SZ,20250219,20250224
000553.SZ,20250211,20250214
000554.SZ,20250207,20250212
000558.SZ,20250219,20250224
000559.SZ,20250207,20250212
000563.SZ,20250219,20250224
000564.SZ,20250219,20250224
000570.SZ,20250212,20250217
000572.SZ,20250219,20250224
000589.SZ,20250219,20250224
000591.SZ,20250219,20250224
000592.SZ,20250219,20250224
000593.SZ,20250219,20250224
000597.SZ,20250219,20250224
000598.SZ,20250207,20250214
000599.SZ,20250212,20250217
000601.SZ,20250218,20250224
000605.SZ,20250210,20250217
000608.SZ,20250219,20250224
000617.SZ,20250219,20250224
000625.SZ,20250219,20250224
000629.SZ,20250212,20250217
000630.SZ,20250219,20250224
000631.SZ,20250219,20250224
000633.SZ,20250210,20250213
000637.SZ,20250219,20250224
000639.SZ,20250219,20250224
000650.SZ,20250219,20250224
000652.SZ,20250219,20250224
000656.SZ,20250219,20250224
000659.SZ,20250212,20250217
000663.SZ,20250211,20250214
000669.SZ,20250218,20250221
000672.SZ,20250218,20250221
000683.SZ,20250218,20250221
000685.SZ,20250212,20250217
000690.SZ,20250219,20250224
000701.SZ,20250211,20250214
000707.SZ,20250218,20250221
000709.SZ,20250217,20250224
000711.SZ,20250219,20250224
000713.SZ,20250207,20250214
