000429.SZ,20241125,20241127,20241202,20250116,20250206
000729.SZ,20241220,20241224,20250108,20250113,20250217
000759.SZ,20241220,20241223,20250109,20250113,20250218
000951.SZ,20250116,20250120,20250124,20250205,20250218
001328.SZ,20241101,20241108,20241113,20241125,20250218
002052.SZ,20241202,20241216,20241217,20250102,20250205
002187.SZ,20250116,20250122,20250124,20250127,20250217
002255.SZ,20250122,20250124,20250211,20250217,20250218
002277.SZ,20241226,20241230,20250103,20250107,20250219
002281.SZ,20241226,20241231,20250103,20250106,20250205
002309.SZ,20250116,20250117,20250122,20250212,20250217
002318.SZ,20250121,20250205,20250206,20250210,20250211
002336.SZ,20241218,20241219,20250103,20250107,20250206
002497.SZ,20250120,20250124,20250212,20250217,20250218
002748.SZ,20241216,20241217,20241219,20250107,20250205
002837.SZ,20241024,20241101,20241115,20241209,20250205
002862.SZ,20241129,20241203,20241217,20241223,20250214
002891.SZ,20241114,20241115,20241121,20241122,20250219
002950.SZ,20250120,20250123,20250206,20250207,20250218
002956.SZ,20241216,20241219,20241224,20250106,20250206
002991.SZ,20241009,20241011,20241115,20241205,20250205
002993.SZ,20241114,20241125,20241127,20250103,20250217
300154.SZ,20241205,20241216,20250103,20250106,20250218
300561.SZ,20241216,20241218,20241224,20241227,20250218
300888.SZ,20241217,20241219,20250103,20250106,20250207
301010.SZ,20241220,20241224,20250106,20250108,20250205
301067.SZ,20241226,20241231,20250102,20250113,20250205
301110.SZ,20241226,20241231,20250106,20250113,20250214
301119.SZ,20241212,20241216,20241218,20250102,20250205
301165.SZ,20241024,20241030,20241115,20241118,20250205
600160.SH,20241011,20241014,20241025,20241119,20250219
600234.SH,20241202,20241203,20241225,20241226,20250217
600367.SH,20250122,20250124,20250214,20250218,20250219
600618.SH,20241216,20241217,20241224,20241225,20250213
600693.SH,20241203,20241204,20241223,20241225,20250218
600694.SH,20241217,20241219,20241223,20250106,20250218
600714.SH,20250121,20250122,20250123,20250124,20250218
600793.SH,20241225,20241226,20250102,20250103,20250214
600803.SH,20241226,20250106,20250107,20250109,20250205
600824.SH,20241220,20241223,20241224,20241225,20250205
600889.SH,20241205,20241210,20241230,20241231,20250218
600919.SH,20241216,20250103,20250106,20250110,20250217
601226.SH,20241204,20241209,20241211,20241217,20250206
601838.SH,20241011,20241016,20241028,20241111,20250210
603016.SH,20241231,20250108,20250113,20250123,20250205
603089.SH,20250116,20250121,20250205,20250214,20250218
603118.SH,20241112,20241114,20241115,20241118,20250205
603338.SH,20241212,20241216,20241219,20250106,20250212
603529.SH,20241119,20241126,20241203,20241230,20250206
603719.SH,20241216,20241217,20241223,20241224,20250205
603777.SH,20241204,20241209,20241218,20241219,20250219
605179.SH,20241213,20241216,20241223,20241231,20250205
605196.SH,20250122,20250123,20250127,20250214,20250218
605580.SH,20241011,20241014,20241115,20241127,20250217
688068.SH,20250109,20250110,20250123,20250124,20250218
688073.SH,20241029,20241030,20241118,20241204,20250205
688190.SH,20241230,20250103,20250115,20250116,20250211
688300.SH,20241015,20241016,20241031,20241115,20250205
688332.SH,20241217,20241218,20241231,20250102,20250213
000429.SZ,20241223,20250102,20250109,20250116,20250206
000759.SZ,20250106,20250107,20250109,20250113,20250218
000905.SZ,20250108,20250110,20250122,20250123,20250206
000951.SZ,20250114,20250120,20250124,20250205,20250218
001328.SZ,20250108,20250110,20250113,20250205,20250218
002052.SZ,20241213,20241216,20241217,20250102,20250205
002187.SZ,20250108,20250114,20250124,20250127,20250217
002249.SZ,20250122,20250127,20250214,20250217,20250218
002277.SZ,20241224,20241230,20250103,20250107,20250219
002281.SZ,20241113,20241115,20241118,20241125,20250205
002318.SZ,20250124,20250205,20250206,20250210,20250211
002336.SZ,20241206,20241219,20250103,20250107,20250206
002488.SZ,20250124,20250127,20250205,20250206,20250213
002497.SZ,20250120,20250124,20250212,20250217,20250218
002748.SZ,20241107,20241115,20241118,20250107,20250205
002768.SZ,20250206,20250207,20250210,20250213,20250214
002862.SZ,20241129,20241203,20241217,20241223,20250214
002891.SZ,20241114,20241115,20241121,20241122,20250219
002991.SZ,20241106,20241111,20241115,20241205,20250205
002993.SZ,20241216,20241218,20250102,20250103,20250217
300154.SZ,20241106,20241112,20241115,20241125,20250218
300561.SZ,20241216,20241218,20241224,20241227,20250218
300888.SZ,20241218,20241219,20250103,20250106,20250207
300976.SZ,20250124,20250205,20250214,20250217,20250219
301077.SZ,20250120,20250123,20250124,20250206,20250218
